country,name,modeled_stage_weight,structural,local_pressure,chain_contribution
us,United States,6.97,4.320286,0.1861002977,0.070595806
cn,China,3.06,3.959286,0.1698657669,0.0392544932
tw,Taiwan,2.77,5.297042,0.1567772577,0.0251635349
kr,South Korea,2.77,5.074085,0.3185312019,0.0338468421
jp,Japan,4,4.289757,0.1251954418,0.0126133358
nl,Netherlands,1.1,6.994383,0.2442967256,0.003001787
de,Germany,1.19,3.814393,0.0973877809,0.006023641
fr,France,0.42,3.655401,0.0729023179,0.0008688816
uk,United Kingdom,0.23,3.126776,0.0153558107,0.0001719053
be,Belgium,0.15,3.132468,0.0100613588,0.0000123503
ie,Ireland,0.02,8.143016,0.240233151,0.0002359082
il,Israel,0.145,4.396951,0.1878286174,0.0005894902
sg,Singapore,0.27,4.329193,0.1732802152,0.003771633
my,Malaysia,0.28,4.696624,0.1450165272,0.0038764217
vn,Vietnam,0.19,4.336528,0.1824923396,0.0047970735
ph,Philippines,0.04,3.477399,0.142469075,0.0000932694
