supplier_a,buyer_b,incoming_allocation_q_ba,outgoing_allocation_r_ab,non_substitutability_nu_a,D_ba,U_ab,allocation_source
research,eda,1,0.5,0.65,0.405625,0.15,equal_split_fallback
research,design,0.5,0.5,0.65,0.2028125,0.15,equal_split_fallback
eda,design,0.5,1,0.9,0.254375,0.3,equal_split_fallback
design,adv_fab,0.1428571429,0.5,0.6,0.055,0.15,equal_split_fallback
design,mature_fab,0.25,0.5,0.6,0.09625,0.15,equal_split_fallback
wafers,adv_fab,0.1428571429,0.3333333333,0.75,0.0638392857,0.1,equal_split_fallback
wafers,mature_fab,0.25,0.3333333333,0.75,0.11171875,0.1,equal_split_fallback
wafers,memory_fab,0.25,0.3333333333,0.75,0.11171875,0.1,equal_split_fallback
resist,litho,1,1,0.85,0.488125,0.3,equal_split_fallback
gases,depo,1,0.5,0.7,0.42625,0.15,equal_split_fallback
gases,etch,1,0.5,0.7,0.42625,0.15,equal_split_fallback
substrates,adv_pkg,0.3333333333,1,0.75,0.1489583333,0.3,equal_split_fallback
litho,adv_fab,0.1428571429,0.3333333333,0.98,0.0773928571,0.1,equal_split_fallback
litho,mature_fab,0.25,0.3333333333,0.98,0.1354375,0.1,equal_split_fallback
litho,memory_fab,0.25,0.3333333333,0.98,0.1354375,0.1,equal_split_fallback
depo,adv_fab,0.1428571429,0.5,0.75,0.0638392857,0.15,equal_split_fallback
depo,memory_fab,0.25,0.5,0.75,0.11171875,0.15,equal_split_fallback
etch,adv_fab,0.1428571429,0.5,0.75,0.0638392857,0.15,equal_split_fallback
etch,mature_fab,0.25,0.5,0.75,0.11171875,0.15,equal_split_fallback
cmp,adv_fab,0.1428571429,1,0.65,0.0579464286,0.3,equal_split_fallback
metro,adv_fab,0.1428571429,0.5,0.8,0.0667857143,0.15,equal_split_fallback
metro,memory_fab,0.25,0.5,0.8,0.116875,0.15,equal_split_fallback
adv_fab,logic_ai,1,1,0.95,0.529375,0.3,equal_split_fallback
mature_fab,analog,1,1,0.5,0.34375,0.3,equal_split_fallback
memory_fab,hbm,1,0.5,0.65,0.405625,0.15,equal_split_fallback
memory_fab,osat,0.5,0.5,0.65,0.2028125,0.15,equal_split_fallback
logic_ai,adv_pkg,0.3333333333,1,0.65,0.1352083333,0.3,equal_split_fallback
hbm,adv_pkg,0.3333333333,1,0.85,0.1627083333,0.3,equal_split_fallback
analog,osat,0.5,1,0.5,0.171875,0.3,equal_split_fallback
adv_pkg,systems,0.5,1,0.8,0.23375,0.3,equal_split_fallback
osat,systems,0.5,1,0.45,0.1615625,0.3,equal_split_fallback
systems,m_ai,1,0.3333333333,0.35,0.281875,0.1,equal_split_fallback
systems,m_auto,1,0.3333333333,0.35,0.281875,0.1,equal_split_fallback
systems,m_consumer,1,0.3333333333,0.35,0.281875,0.1,equal_split_fallback
