incident_id,primary_record,record_count,records,severity,days_ago,direction,channel,operational,profile,persistence_R,severity_intensity_g,exposure_source,scored,unscored_reason,source_vector
e1,e1,1,e1:primary,8,63,adverse,both,true,market_exponential,0.37892914,0.8,curated,true,,logic_ai=0.27282898|hbm=0.21220032|adv_fab=0.10610016|adv_pkg=0.09094299
e2,e2,1,e2:primary,4,64,mitigating,downstream,true,market_exponential,0.37313712,0.4,curated,true,,adv_pkg=-0.11940388|logic_ai=-0.0522392
e3,e3,1,e3:primary,6,66,adverse,downstream,false,strategic_context,0,0,none,false,not_operational,
e4,e4,1,e4:primary,7,69,adverse,downstream,true,market_exponential,0.34547822,0.7,curated,true,,gases=0.18137607|analog=0.07255043
e5,e5,1,e5:primary,5,71,mixed,downstream,false,strategic_context,0,0,none,false,not_operational,
e6,e6,1,e6:primary,3,72,adverse,downstream,false,strategic_context,0,0,none,false,not_operational,
h2102_uri,h2102_uri,1,h2102_uri:primary,6,2026,adverse,downstream,true,acute_exponential,0,0.6,legacy_equal_split,true,,mature_fab=0|analog=0|m_auto=0
h2103_renesas,h2103_renesas,1,h2103_renesas:primary,7,1995,adverse,downstream,true,acute_exponential,0,0.7,legacy_equal_split,true,,mature_fab=0|analog=0|m_auto=0
h2108_malaysia,h2108_malaysia,1,h2108_malaysia:primary,6,1838,adverse,downstream,true,acute_exponential,0,0.6,legacy_equal_split,true,,osat=0|m_auto=0
h2202_kioxia,h2202_kioxia,1,h2202_kioxia:primary,6,1667,adverse,downstream,true,acute_exponential,0,0.6,legacy_equal_split,true,,memory_fab=0|m_consumer=0
h2202_neon,h2202_neon,1,h2202_neon:primary,7,1653,adverse,downstream,true,acute_exponential,0,0.7,legacy_equal_split,true,,gases=0|litho=0
h2204_shanghai,h2204_shanghai,1,h2204_shanghai:primary,6,1613,adverse,downstream,true,acute_exponential,0,0.6,legacy_equal_split,true,,osat=0|substrates=0|m_consumer=0
h2208_chips,h2208_chips,1,h2208_chips:primary,4,1487,mitigating,downstream,false,strategic_context,0,0,none,false,not_operational,
h2208_strait22,h2208_strait22,1,h2208_strait22:primary,6,1492,adverse,downstream,false,strategic_context,0,0,none,false,not_operational,
h2210_bis,h2210_bis,1,h2210_bis:primary,9,1428,adverse,both,true,acute_exponential,0,0.9,legacy_equal_split,true,,logic_ai=0|adv_fab=0|memory_fab=0|litho=0|depo=0|etch=0|metro=0
h2301_alliance,h2301_alliance,1,h2301_alliance:primary,5,1316,adverse,downstream,false,strategic_context,0,0,none,false,not_operational,
h2307_gage,h2307_gage,1,h2307_gage:primary,7,1159,adverse,downstream,true,acute_exponential,0,0.7,legacy_equal_split,true,,gases=0|analog=0
h2307_jpsme,h2307_jpsme,1,h2307_jpsme:primary,6,1139,adverse,both,true,acute_exponential,0,0.6,legacy_equal_split,true,,depo=0|etch=0|metro=0|litho=0|resist=0
h2308_mate60,h2308_mate60,1,h2308_mate60:primary,5,1102,mixed,downstream,false,strategic_context,0,0,none,false,not_operational,
h2309_duv,h2309_duv,1,h2309_duv:primary,6,1099,adverse,both,true,acute_exponential,0,0.6,legacy_equal_split,true,,litho=0
h2310_bisupdate,h2310_bisupdate,1,h2310_bisupdate:primary,7,1053,adverse,both,true,acute_exponential,0,0.7,legacy_equal_split,true,,logic_ai=0|m_ai=0
h2401_noto,h2401_noto,1,h2401_noto:primary,4,977,adverse,downstream,true,acute_exponential,0,0.4,legacy_equal_split,true,,wafers=0|mature_fab=0
h2404_hualien,h2404_hualien,1,h2404_hualien:primary,5,884,adverse,downstream,true,acute_exponential,0,0.5,curated,true,,adv_fab=0|memory_fab=0
h2405_huawei,h2405_huawei,1,h2405_huawei:primary,4,850,adverse,downstream,true,market_exponential,0.00000206,0.4,curated,true,,design=1.6e-7|logic_ai=1.2e-7|m_consumer=1.6e-7
h2412_bis3,h2412_bis3,1,h2412_bis3:primary,8,641,adverse,both,true,market_exponential,0.00005152,0.8,curated,true,,hbm=0.00003091|memory_fab=0.00001649|depo=0.00001443|etch=0.00001443
h2412_gaban,h2412_gaban,1,h2412_gaban:primary,7,640,adverse,downstream,true,market_exponential,0.00005232,0.7,curated,true,,gases=0.00002564|analog=0.00000916
h2501_deepseek,h2501_deepseek,1,h2501_deepseek:primary,4,585,mixed,downstream,false,strategic_context,0,0,none,false,not_operational,
h2501_diffusion,h2501_diffusion,1,h2501_diffusion:primary,6,599,adverse,both,false,strategic_context,0,0,none,false,not_operational,
h2504_h20,h2504_h20,1,h2504_h20:primary,7,513,adverse,both,true,market_exponential,0.00037005,0.7,curated,true,,logic_ai=0.00015542|m_ai=0.00018132
h2504_ree,h2504_ree,1,h2504_ree:primary,7,518,adverse,downstream,true,market_exponential,0.00034262,0.7,curated,true,,gases=0.00019187|analog=0.00007195|m_auto=0.00010792
h2505_rescind,h2505_rescind,1,h2505_rescind:primary,4,479,mitigating,downstream,true,market_exponential,0.00062475,0.4,curated,true,,logic_ai=-0.00008746|m_ai=-0.00011245
h2507_h20back,h2507_h20back,1,h2507_h20back:primary,5,416,mitigating,downstream,true,market_exponential,0.00164871,0.5,curated,true,,logic_ai=-0.00032974|m_ai=-0.0004534
h2509_nexperia,h2509_nexperia,1,h2509_nexperia:primary,7,339,adverse,downstream,true,outage_recovery,0,0.7,curated,false,zero_persistence_at_evaluation_date,
h2510_reemax,h2510_reemax,1,h2510_reemax:primary,8,330,adverse,downstream,true,market_exponential,0.00620079,0.8,curated,true,,gases=0.00421653|analog=0.00173622|m_auto=0.00198425|m_ai=0.00124016
h2510_truce,h2510_truce,1,h2510_truce:primary,5,309,mitigating,downstream,true,persistent_policy,1,0.5,curated,true,,gases=-0.3|analog=-0.125
h2512_memory,h2512_memory,1,h2512_memory:primary,6,268,adverse,downstream,true,market_exponential,0.01611384,0.6,curated,true,,memory_fab=0.00725123|hbm=0.00483415|m_consumer=0.00435074
h2512_yilan,h2512_yilan,1,h2512_yilan:primary,3,251,adverse,downstream,false,strategic_context,0,0,none,false,not_operational,
h2601_ease,h2601_ease,1,h2601_ease:primary,5,232,mitigating,downstream,true,market_exponential,0.02805583,0.5,curated,true,,logic_ai=-0.00631256|m_ai=-0.00771535
h2603_memorypeak,h2603_memorypeak,1,h2603_memorypeak:primary,7,178,adverse,downstream,true,market_exponential,0.06445537,0.7,curated,true,,memory_fab=0.03835095|m_consumer=0.02707126|m_ai=0.02030344
h2604_match,h2604_match,1,h2604_match:primary,4,155,adverse,downstream,false,strategic_context,0,0,none,false,not_operational,
h2606_mpban,h2606_mpban,1,h2606_mpban:primary,5,74,adverse,downstream,true,market_exponential,0.31986955,0.5,curated,true,,gases=0.08796413|m_auto=0.03998369
h2606_subs,h2606_subs,1,h2606_subs:primary,6,95,adverse,downstream,true,market_exponential,0.23146868,0.6,curated,true,,logic_ai=0.07638466|m_ai=0.08332872
h2607_tsmcq2,h2607_tsmcq2,1,h2607_tsmcq2:primary,4,50,mixed,downstream,false,strategic_context,0,0,none,false,not_operational,
