country,name,modeled_stage_weight,structural,local_pressure,chain_contribution
us,United States,6.97,4.360402,0.2003636224,0.0769893257
cn,China,3.06,4.003558,0.1881519073,0.0432750043
tw,Taiwan,2.77,4.609846,0.1706587931,0.0274033724
kr,South Korea,2.77,4.887642,0.3375704061,0.0359086081
jp,Japan,4,4.054959,0.1354432013,0.0138816019
nl,Netherlands,1.1,6.480401,0.2489212115,0.0030581113
de,Germany,1.19,3.669205,0.1143284072,0.0068257245
fr,France,0.42,3.38911,0.0948856789,0.0010638461
uk,United Kingdom,0.23,2.471537,0.0175517773,0.0001963668
be,Belgium,0.15,2.273152,0.0115066669,0.0000141244
ie,Ireland,0.02,6.837417,0.2589340026,0.0002542723
il,Israel,0.145,4.479044,0.1988974999,0.0006673935
sg,Singapore,0.27,4.081181,0.188086243,0.0041015818
my,Malaysia,0.28,3.969312,0.1576634331,0.0042368077
vn,Vietnam,0.19,4.39046,0.200175222,0.0052626451
ph,Philippines,0.04,2.483662,0.1547123951,0.0001012847
