company,name,country,criticality_raw,criticality_snapshot_relative,vulnerability,contribution,stages
arm,Arm,uk,0.0159464049,0.873286,0.115067,0.0000329569,research
imec,imec,be,0.0091122313,0.49902,0.115067,0.0000188325,research
synopsys,Synopsys,us,0.012365106,0.67716,0.171877,0.0000358663,eda
cadence,Cadence,us,0.0109103877,0.597494,0.171877,0.0000316467,eda
siemens_eda,Siemens EDA,de,0.0047278347,0.258914,0.171877,0.0000137136,eda
nvidia,NVIDIA,us,0.1471680373,8.05948,2.25518,0.037120406,design|logic_ai
amd,AMD,us,0.0226337948,1.239512,2.25518,0.0038062607,design|logic_ai
qualcomm,Qualcomm,us,0.0140944358,0.771865,0.578525,0.0007101372,design
apple,Apple (silicon),us,0.0445165286,2.437894,1.612476,0.0076301497,design|m_consumer
mediatek,MediaTek,tw,0.0117453631,0.643221,0.578525,0.000591781,design
hisilicon,HiSilicon (Huawei),cn,0.0148246691,0.811855,2.25518,0.0026511255,design|logic_ai
shinetsu,Shin-Etsu,jp,0.0118234449,0.647497,0.716416,0.0001391588,wafers|resist
sumco,SUMCO,jp,0.006765559,0.370508,0.689583,0.0001015753,wafers
globalwafers,GlobalWafers,tw,0.0043694235,0.239286,0.689583,0.0000656007,wafers
jsr,JSR,jp,0.0048645259,0.2664,0.743248,0.000021896,resist
tok,TOK,jp,0.0040537716,0.222,0.743248,0.0000182467,resist
linde,Linde,de,0.0046535499,0.254846,0.457024,0.0000299197,gases
airliquide,Air Liquide,fr,0.0041881949,0.229361,0.457024,0.0000269277,gases
ibiden,Ibiden,jp,0.002982979,0.163359,0.317401,0.0000264934,substrates
unimicron,Unimicron,tw,0.0031584484,0.172969,0.317401,0.0000280518,substrates
asml,ASML,nl,0.0376572859,2.062256,2.750703,0.0028289387,litho|metro
nikon,Nikon,jp,0.0017719848,0.097041,2.411962,0.0001332303,litho
canon,Canon,jp,0.0021657593,0.118605,2.411962,0.0001628371,litho
amat,Applied Materials,us,0.0201297151,1.10238,2.216034,0.0015306296,depo|etch|cmp|metro
tel,Tokyo Electron,jp,0.0071834616,0.393394,2.563777,0.0006595909,depo|etch
lam,Lam Research,us,0.0111108659,0.608473,2.563777,0.0010359053,depo|etch
kla,KLA,us,0.0128620163,0.704373,3.089443,0.0009531261,metro
tsmc,TSMC,tw,0.1826024023,10,1.949668,0.013107505,adv_fab|mature_fab|adv_pkg
samsung,Samsung,kr,0.069052763,3.781591,3.873741,0.0163536122,adv_fab|memory_fab|hbm|m_consumer
intel,Intel,us,0.0143676021,0.786824,1.836719,0.0004775274,adv_fab|adv_pkg
rapidus,Rapidus,jp,0.0011371944,0.062277,2.58934,0.0001017089,adv_fab
smic,SMIC,cn,0.0079556478,0.435681,2.175567,0.0008812649,mature_fab
umc,UMC,tw,0.0079556478,0.435681,2.175567,0.0008812649,mature_fab
gf,GlobalFoundries,us,0.005062685,0.277252,2.175567,0.0005608049,mature_fab
ti,Texas Instruments,us,0.0158378593,0.867341,1.971934,0.0016378071,mature_fab|analog
infineon,Infineon,de,0.0041810928,0.228972,1.768301,0.0004232636,analog
st,STMicro,fr,0.0050643248,0.277342,1.971934,0.0005333736,analog|mature_fab
tower,Tower Semi,il,0.0014464814,0.079215,2.175567,0.00016023,mature_fab
skhynix,SK hynix,kr,0.0387599286,2.122641,5.1296,0.0098059592,memory_fab|hbm
micron,Micron,us,0.0221443951,1.212711,5.1296,0.0059677458,memory_fab|hbm
ymtc,YMTC,cn,0.0019886818,0.108908,5.346239,0.0006613358,memory_fab
cxmt,CXMT,cn,0.0039773636,0.217816,5.346239,0.0013226717,memory_fab
kioxia,Kioxia,jp,0.0127275636,0.69701,5.346239,0.0042325494,memory_fab
ase,ASE,tw,0.0509960656,2.792738,1.315611,0.0012523776,adv_pkg|osat
amkor,Amkor,us,0.022985211,1.258757,1.315611,0.0005141835,osat|adv_pkg
jcet,JCET,cn,0.0095631969,0.523717,1.547124,0.000278533,osat
foxconn,Foxconn,tw,0.1014708085,5.556926,1.861266,0.0121850496,systems
ibm_res,IBM Research,us,0.0045561157,0.24951,0.115067,0.0000094163,research
leti,CEA-Leti,fr,0.0036448925,0.199608,0.115067,0.000007533,research
ansys,Ansys,us,0,0,0,0,
empyrean,Empyrean,cn,0.0005455194,0.029875,0.171877,0.0000015823,eda
broadcom,Broadcom,us,0.0187609065,1.027418,2.25518,0.0020877714,design|logic_ai
marvell,Marvell,us,0.0074281718,0.406795,2.25518,0.0007551019,design|logic_ai
unisoc,UNISOC,cn,0.0046981453,0.257288,0.578525,0.0002367124,design
sksiltron,SK Siltron,kr,0.0026780338,0.146659,0.689583,0.0000402069,wafers
siltronic,Siltronic,de,0.0023961355,0.131221,0.689583,0.0000359746,wafers
nsig,NSIG,cn,0.0007047457,0.038595,0.689583,0.0000105808,wafers
sumitomo_chem,Sumitomo Chemical,jp,0.0016215086,0.0888,0.743248,0.0000072987,resist
dupont,DuPont,us,0.0014188201,0.0777,0.743248,0.0000063863,resist
